2026-09-24 21:36:49,879 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-09-24 21:37:41,873 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:42,229 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:42,587 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:42,947 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:43,306 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:43,663 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:44,021 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:44,377 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:44,733 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:45,091 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:45,451 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:45,806 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:46,168 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:46,523 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:46,877 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:47,236 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:47,593 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:47,947 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:48,303 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:48,662 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:49,019 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:49,373 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:49,733 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:50,093 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:50,450 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:50,830 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:51,196 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:51,548 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:51,909 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:52,266 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:52,625 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:52,982 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:53,338 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:53,694 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:54,057 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:54,412 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:54,764 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:55,119 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:55,478 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:55,834 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:56,193 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:56,551 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:56,910 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:57,264 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:57,623 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:57,981 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:58,339 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:58,694 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:59,056 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:59,414 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:59,772 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:00,128 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:00,484 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:00,840 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:01,194 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:01,553 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:01,910 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:02,280 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:02,647 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:03,005 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:03,364 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:03,720 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:04,079 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:04,441 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:04,799 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:05,157 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:05,517 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:05,881 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:06,244 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:06,601 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:06,955 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:07,308 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:07,666 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:08,020 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:08,376 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:08,733 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:09,095 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:09,446 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:09,807 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:10,165 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:10,523 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:10,877 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:11,232 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:11,588 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:11,970 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:12,332 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:12,690 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:13,043 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:13,405 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:13,766 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:14,153 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:14,508 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:14,866 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:15,219 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:15,572 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:15,928 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:16,286 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:16,644 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:17,002 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:17,358 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:17,722 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:18,088 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:18,445 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:18,805 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:19,161 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:19,518 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:19,877 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:20,237 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:20,593 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:20,949 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:21,307 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:21,672 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:22,026 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:22,384 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:22,744 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:23,103 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:23,460 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:23,817 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:24,175 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:24,534 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:24,890 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:25,248 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:25,604 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:25,959 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:26,312 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:26,669 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:27,023 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:27,382 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:27,740 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:28,100 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:28,456 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:28,814 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:29,177 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:29,592 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:29,956 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:30,314 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:30,673 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:31,076 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:31,480 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:31,885 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:32,439 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:32,797 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:33,201 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:33,617 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:34,021 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:34,880 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:35,233 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:35,640 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:36,146 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:36,593 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:36,997 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:37,361 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:37,774 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:38,176 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:38,578 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:38,981 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:39,397 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:39,802 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:40,210 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:40,576 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:40,981 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:41,385 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:41,800 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:42,206 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:42,607 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:43,015 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:43,422 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:43,831 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:44,235 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:44,600 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:45,011 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:45,421 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:45,825 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:46,231 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:46,634 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:47,037 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:47,443 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:47,850 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:48,258 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:48,664 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:49,079 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:49,496 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:49,903 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:50,277 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:50,693 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:51,109 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:51,518 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:51,921 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:52,326 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:52,692 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:53,099 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:53,503 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:53,909 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:54,314 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:54,717 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:55,124 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:55,539 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:55,947 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:56,352 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:56,754 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:57,156 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:57,573 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:57,976 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:58,341 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:58,746 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:59,152 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:59,553 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:38:59,958 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:00,360 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:00,764 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:01,170 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:01,589 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:02,005 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:02,408 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:02,815 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:03,233 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:03,636 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:04,042 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:04,452 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:04,855 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:05,261 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:05,677 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:06,081 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:06,488 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:06,908 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:07,312 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:07,714 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:08,118 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:08,521 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:08,924 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:09,330 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:09,733 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:10,151 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:10,557 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:10,921 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:11,328 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:11,730 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:12,136 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:12,553 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:12,957 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:13,372 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:13,726 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:14,137 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:14,542 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:14,952 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:15,362 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:15,768 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:16,173 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:16,577 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:16,982 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:17,349 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:17,759 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:18,163 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:18,579 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:18,987 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:19,390 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:19,806 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:20,212 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:20,626 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:21,033 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:21,439 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:21,844 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:22,274 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:22,678 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:23,043 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:23,449 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:23,857 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:24,273 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:24,675 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:25,083 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:25,489 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:25,905 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:26,308 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:26,724 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:27,133 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:27,549 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:27,952 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:28,382 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:28,736 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:29,141 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:29,544 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:29,951 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:30,367 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:30,768 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:31,183 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:31,586 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:31,991 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:32,407 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:32,812 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:33,217 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:39:33,619 | INFO | watchfiles.main | 1 change detected
